date,price
2015-01-01,3418
2015-01-02,3162
2015-01-03,1421
2015-01-04,941
2015-01-05,1882
2015-01-06,1863
2015-01-07,1579
2015-01-08,927
2015-01-09,1843
2015-01-10,1876
2015-01-11,1707
2015-01-12,2499
2015-01-13,2891
2015-01-14,2934
2015-01-15,3130
2015-01-16,3362
2015-01-17,2430
2015-01-18,2385
2015-01-19,2058
2015-01-20,3086
2015-01-21,2806
2015-01-22,3017
2015-01-23,3364
2015-01-24,2732
2015-01-25,1568
2015-01-26,3042
2015-01-27,3444
2015-01-28,3871
2015-01-29,3072
2015-01-30,4315
2015-01-31,2797
2015-02-01,31
2015-02-02,480
2015-02-03,1301
2015-02-04,1244
2015-02-05,2131
2015-02-06,2647
2015-02-07,2187
2015-02-08,2092
2015-02-09,2292
2015-02-10,3018
2015-02-11,2858
2015-02-12,3273
2015-02-13,3402
2015-02-14,2592
2015-02-15,1771
2015-02-16,2209
2015-02-17,2739
2015-02-18,3210
2015-02-19,2594
2015-02-20,3543
2015-02-21,2591
2015-02-22,2744
2015-02-23,3292
2015-02-24,2977
2015-02-25,2801
2015-02-26,1550
2015-02-27,2904
2015-02-28,2548
2015-03-01,2556
2015-03-02,3507
2015-03-03,2144
2015-03-04,3331
2015-03-05,3331
2015-03-06,3891
2015-03-07,2853
2015-03-08,2600
2015-03-09,4028
2015-03-10,3252
2015-03-11,3632
2015-03-12,3984
2015-03-13,4244
2015-03-14,2963
2015-03-15,2863
2015-03-16,4020
2015-03-17,4175
2015-03-18,4161
2015-03-19,3982
2015-03-20,4398
2015-03-21,3156
2015-03-22,2948
2015-03-23,1823
2015-03-24,4002
2015-03-25,3422
2015-03-26,3730
2015-03-27,4092
2015-03-28,3268
2015-03-29,2595
2015-03-30,4241
2015-03-31,3832
2015-04-01,4603
2015-04-02,3080
2015-04-03,2735
2015-04-04,3289
2015-04-05,3685
2015-04-06,2426
2015-04-07,2277
2015-04-08,2349
2015-04-09,1670
2015-04-10,2843
2015-04-11,3501
2015-04-12,2832
2015-04-13,3800
2015-04-14,4152
2015-04-15,2813
2015-04-16,3564
2015-04-17,4522
2015-04-18,2751
2015-04-19,2258
2015-04-20,3575
2015-04-21,4172
2015-04-22,3633
2015-04-23,4407
2015-04-24,4314
2015-04-25,2633
2015-04-26,3260
2015-04-27,4314
2015-04-28,4558
2015-04-29,4509
2015-04-30,4436
2015-05-01,5168
2015-05-02,3401
2015-05-03,2828
2015-05-04,4319
2015-05-05,3360
2015-05-06,4196
2015-05-07,4865
2015-05-08,4260
2015-05-09,3193
2015-05-10,3299
2015-05-11,3398
2015-05-12,4221
2015-05-13,4600
2015-05-14,4322
2015-05-15,4813
2015-05-16,3411
2015-05-17,3117
2015-05-18,4606
2015-05-19,3902
2015-05-20,3730
2015-05-21,4816
2015-05-22,4595
2015-05-23,3739
2015-05-24,2669
2015-05-25,3097
2015-05-26,3535
2015-05-27,4468
2015-05-28,4364
2015-05-29,4249
2015-05-30,2011
2015-05-31,2907
2015-06-01,4138
2015-06-02,4300
2015-06-03,4663
2015-06-04,4354
2015-06-05,4009
2015-06-06,3664
2015-06-07,2842
2015-06-08,4380
2015-06-09,4517
2015-06-10,4403
2015-06-11,3852
2015-06-12,3071
2015-06-13,3365
2015-06-14,2885
2015-06-15,3136
2015-06-16,4634
2015-06-17,3265
2015-06-18,4135
2015-06-19,4889
2015-06-20,3027
2015-06-21,3548
2015-06-22,2314
2015-06-23,2762
2015-06-24,2574
2015-06-25,2468
2015-06-26,2152
2015-06-27,3532
2015-06-28,2892
2015-06-29,3055
2015-06-30,3217
2015-07-01,3249
2015-07-02,3771
2015-07-03,3934
2015-07-04,3657
2015-07-05,3138
2015-07-06,3398
2015-07-07,3368
2015-07-08,3210
2015-07-09,3621
2015-07-10,3560
2015-07-11,2917
2015-07-12,3084
2015-07-13,3012
2015-07-14,3374
2015-07-15,3559
2015-07-16,2719
2015-07-17,4023
2015-07-18,3218
2015-07-19,3221
2015-07-20,3161
2015-07-21,3346
2015-07-22,3374
2015-07-23,3518
2015-07-24,3649
2015-07-25,3327
2015-07-26,2881
2015-07-27,3190
2015-07-28,3310
2015-07-29,3155
2015-07-30,3168
2015-07-31,3248
2015-08-01,3118
2015-08-02,3077
2015-08-03,2820
2015-08-04,2674
2015-08-05,2819
2015-08-06,2989
2015-08-07,2917
2015-08-08,3199
2015-08-09,2825
2015-08-10,2388
2015-08-11,2586
2015-08-12,2633
2015-08-13,2821
2015-08-14,2810
2015-08-15,3372
2015-08-16,3444
2015-08-17,2501
2015-08-18,2222
2015-08-19,2599
2015-08-20,3016
2015-08-21,3126
2015-08-22,3256
2015-08-23,2857
2015-08-24,2727
2015-08-25,2607
2015-08-26,2626
2015-08-27,2919
2015-08-28,2848
2015-08-29,2161
2015-08-30,3076
2015-08-31,2617
2015-09-01,2724
2015-09-02,2844
2015-09-03,2847
2015-09-04,2828
2015-09-05,2860
2015-09-06,3221
2015-09-07,2990
2015-09-08,2992
2015-09-09,4235
2015-09-10,3815
2015-09-11,3462
2015-09-12,2808
2015-09-13,3169
2015-09-14,4318
2015-09-15,4402
2015-09-16,4554
2015-09-17,4142
2015-09-18,3424
2015-09-19,3048
2015-09-20,3092
2015-09-21,4367
2015-09-22,4322
2015-09-23,4249
2015-09-24,4582
2015-09-25,4678
2015-09-26,3185
2015-09-27,2860
2015-09-28,4136
2015-09-29,3169
2015-09-30,4260
2015-10-01,4358
2015-10-02,4557
2015-10-03,2970
2015-10-04,3148
2015-10-05,3792
2015-10-06,4163
2015-10-07,4492
2015-10-08,4279
2015-10-09,4283
2015-10-10,3054
2015-10-11,3164
2015-10-12,2819
2015-10-13,4274
2015-10-14,4437
2015-10-15,3937
2015-10-16,4370
2015-10-17,3060
2015-10-18,3330
2015-10-19,3809
2015-10-20,3488
2015-10-21,3745
2015-10-22,3803
2015-10-23,3553
2015-10-24,2668
2015-10-25,3141
2015-10-26,3742
2015-10-27,2811
2015-10-28,2788
2015-10-29,3493
2015-10-30,4115
2015-10-31,1558
2015-11-01,2988
2015-11-02,3396
2015-11-03,3678
2015-11-04,3574
2015-11-05,3568
2015-11-06,3446
2015-11-07,3006
2015-11-08,2930
2015-11-09,3832
2015-11-10,3785
2015-11-11,2298
2015-11-12,2882
2015-11-13,2681
2015-11-14,3068
2015-11-15,2992
2015-11-16,3102
2015-11-17,2245
2015-11-18,2471
2015-11-19,2798
2015-11-20,3169
2015-11-21,710
2015-11-22,1719
2015-11-23,2485
2015-11-24,2973
2015-11-25,2210
2015-11-26,2741
2015-11-27,1860
2015-11-28,2935
2015-11-29,2927
2015-11-30,2650
2015-12-01,2967
2015-12-02,2438
2015-12-03,2763
2015-12-04,3327
2015-12-05,2770
2015-12-06,2920
2015-12-07,2727
2015-12-08,2941
2015-12-09,3213
2015-12-10,3110
2015-12-11,3146
2015-12-12,2242
2015-12-13,1819
2015-12-14,2324
2015-12-15,2749
2015-12-16,2503
2015-12-17,3262
2015-12-18,3450
2015-12-19,2843
2015-12-20,2882
2015-12-21,1490
2015-12-22,2150
2015-12-23,1844
2015-12-24,3371
2015-12-25,3743
2015-12-26,2430
2015-12-27,2980
2015-12-28,290
2015-12-29,1585
2015-12-30,1687
2015-12-31,2651
2016-01-01,2779
2016-01-02,2664
2016-01-03,2654
2016-01-04,2620
2016-01-05,2840
2016-01-06,2753
2016-01-07,2830
2016-01-08,2155
2016-01-09,1739
2016-01-10,2660
2016-01-11,2445
2016-01-12,2044
2016-01-13,2248
2016-01-14,2915
2016-01-15,2454
2016-01-16,2721
2016-01-17,2881
2016-01-18,2725
2016-01-19,3385
2016-01-20,2810
2016-01-21,3074
2016-01-22,2606
2016-01-23,2826
2016-01-24,2617
2016-01-25,2635
2016-01-26,2591
2016-01-27,3068
2016-01-28,2856
2016-01-29,3450
2016-01-30,2738
2016-01-31,2313
2016-02-01,2976
2016-02-02,1532
2016-02-03,2435
2016-02-04,3201
2016-02-05,2212
2016-02-06,2835
2016-02-07,2878
2016-02-08,2573
2016-02-09,2558
2016-02-10,3019
2016-02-11,3204
2016-02-12,3423
2016-02-13,3375
2016-02-14,1620
2016-02-15,1938
2016-02-16,2748
2016-02-17,3216
2016-02-18,3003
2016-02-19,3476
2016-02-20,3029
2016-02-21,2759
2016-02-22,3253
2016-02-23,3493
2016-02-24,1527
2016-02-25,2951
2016-02-26,3253
2016-02-27,3174
2016-02-28,2843
2016-02-29,3093
2016-03-01,1806
2016-03-02,3006
2016-03-03,2600
2016-03-04,3418
